,Date,Open,High,Low,Close,Volume,boringCandle,greenExcitingCandle,redExcitingCandle,ds_dbr_base1,ds_rbr_base1,greenBoringCandle,proximalLine,distalLine
2,1996-03-01,10.90540239961502,12.156842060532544,9.832740013018842,10.565725326538086,5434431895.0,True,False,False,False,False,False,10.90540239961502,9.832740013018842
65,2000-12-01,39.51787920054645,42.635804658723565,39.15533159950939,40.9620361328125,494467799.0,True,False,False,False,False,True,40.9620361328125,39.15533159950939
113,2004-08-01,65.15566544954298,74.10121978027448,59.88179789522648,63.50674819946289,853776944.0,True,False,False,False,False,False,65.15566544954298,59.88179789522648
132,2006-02-01,156.16807870867964,158.29883543878128,149.37152165238743,154.91148376464844,399825352.0,True,False,False,False,False,False,156.16807870867964,149.37152165238743
139,2006-09-01,246.2519975890831,264.31783078995363,236.9982156706416,258.78546142578125,291030689.0,True,False,False,False,False,True,258.78546142578125,236.9982156706416
149,2007-06-01,394.81248254794303,400.870071990368,366.8183948634995,378.7219848632813,183575587.0,True,False,False,False,False,False,394.81248254794303,366.8183948634995
151,2007-08-01,414.67779128496977,438.729984333243,374.85802872556815,436.703369140625,277636147.0,True,False,False,False,False,True,436.703369140625,374.85802872556815
236,2014-04-01,437.97334390294384,462.6561476099834,434.74469602654966,437.8797607421875,119413271.0,True,False,False,False,False,False,437.97334390294384,434.74469602654966
272,2017-01-01,523.164345893281,529.679736540735,488.8014929932691,504.43853759765625,125066274.0,True,False,False,False,False,False,523.164345893281,488.8014929932691
297,2018-12-01,1149.4304686616172,1149.4304686616172,1032.1296340056892,1096.9434814453125,154182636.0,True,False,False,False,False,False,1149.4304686616172,1032.1296340056892
299,2019-02-01,1207.2492734536395,1292.5589811700197,1179.8562779026404,1204.36328125,176068478.0,True,False,False,False,False,False,1207.2492734536395,1179.8562779026404
315,2020-05-01,1442.1623778372116,1588.7396532953558,1383.3389401706263,1454.2437744140625,463908941.0,True,False,False,False,False,True,1454.2437744140625,1383.3389401706263
